node	Degree Centrality	In-Degree Centrality	Out-Degree Centrality	Betweenness centrality	Eigenvector centrality
0	26.0	13.0	13.0	0.0003843535946427338	0.002480406809954202
1	35.0	17.0	18.0	0.0008403925035298439	0.00047975042607091784
2	37.0	18.0	19.0	0.001602029392363652	0.0009023569347743054
3	21.0	12.0	9.0	0.0006374400661644489	0.0006431577679494656
4	35.0	16.0	19.0	0.003994594216263861	0.021769355084392726
5	19.0	12.0	7.0	0.0006086049400317383	0.059147917949860185
6	12.0	6.0	6.0	2.2053435785520087e-05	1.0100787801166642e-07
7	40.0	40.0	0	0.0	0.0013986683337388467
8	31.0	16.0	15.0	0.0015148924366965445	3.644062244834813e-05
9	32.0	14.0	18.0	0.0037824877911454722	1.3444200694607363e-07
10	46.0	16.0	30.0	0.002313459770961091	0.0003620916693958196
11	31.0	13.0	18.0	0.00032238395777170844	0.0001778361497619932
12	17.0	12.0	5.0	0.0019779058740723968	0.00010560176837434727
13	36.0	16.0	20.0	0.0004892704858040584	0.0005004876340320667
14	72.0	36.0	36.0	0.014629269763705627	0.000522317141512764
15	57.0	30.0	27.0	0.003004950722699668	0.00029931466961827317
16	62.0	46.0	16.0	0.0021350831958099736	0.0004420155427056429
17	16.0	16.0	0	0.0	0.00013892908077887432
18	50.0	31.0	19.0	0.004327378676410173	0.0002106974395003277
19	34.0	17.0	17.0	0.001318907132301519	0.00027125327651791707
20	44.0	28.0	16.0	0.0025175109974686183	8.159091652444786e-05
21	70.0	34.0	36.0	0.0076984933465405435	0.0002443628173383022
22	39.0	16.0	23.0	0.0022358715388400875	0.00014605684401350965
23	50.0	22.0	28.0	0.003529352324314543	0.000836616518437884
24	39.0	17.0	22.0	0.0018782124375372672	8.499811318573349e-05
25	35.0	14.0	21.0	0.001961927486853615	4.887853978902911e-06
26	18.0	18.0	0	0.0	4.884154086473915e-06
27	4.0	4.0	0	0.0	7.96557723552263e-06
28	27.0	6.0	21.0	0.0021890468142673103	1.5111293276311825e-06
29	26.0	9.0	17.0	0.0008605732091755959	1.7440817488254294e-06
30	5.0	5.0	0	0.0	2.4479771522966795e-06
31	17.0	7.0	10.0	0.001031940312013666	6.235622998179749e-06
32	11.0	5.0	6.0	0.0019263676158651796	5.751417675522875e-05
33	50.0	23.0	27.0	0.009576405710919873	0.00018602108224601864
34	28.0	9.0	19.0	0.0019364573215801982	6.320418576073721e-05
35	9.0	5.0	4.0	4.8313072645156387e-05	6.414934078597633e-05
36	22.0	13.0	9.0	0.003750965873188193	0.0008239144114402659
37	28.0	27.0	1.0	2.6207868231031793e-05	0.00022901949942057823
38	30.0	16.0	14.0	0.0010327841406599198	5.890927835563146e-05
39	28.0	11.0	17.0	0.004250321257620322	1.5235938105816035e-05
40	18.0	11.0	7.0	0.0010338971661749163	3.772956038095508e-05
41	23.0	11.0	12.0	0.0008019607678695722	1.558232957219051e-05
42	46.0	29.0	17.0	0.001799920152067241	0.003931512266298153
43	70.0	46.0	24.0	0.004435828591585796	0.011851273894061973
44	27.0	13.0	14.0	0.0011918070140072453	4.338160521410851e-05
45	42.0	8.0	34.0	0.0013503587928342707	3.5909273884457503e-06
46	29.0	29.0	0	0.0	0.0015046952010429838
47	14.0	8.0	6.0	0.0	3.3337075373138643e-06
48	23.0	11.0	12.0	0.0007384018341003891	5.867933190105095e-06
49	9.0	5.0	4.0	5.9378617009369805e-05	2.5021937557468672e-05
50	40.0	19.0	21.0	0.002730498598601036	0.00025300858370240834
