node	Degree Centrality	Betweenness centrality	Eigenvector centrality
0	5	0.021520477767384208	0.0013650102735143482
1	6	0.009651901065174289	0.003897997789132279
2	20	0.047681747112726894	0.005509593489226528
3	2	0.003627004822535694	0.00018587511654985156
4	5	0.015871025036061054	0.0004728617390051456
5	2	0.0005366565035865066	0.00022230456750394953
6	3	0.0017276245209839809	0.00019864545794959898
7	3	0.0005585086655900087	3.247232240191414e-05
8	3	0.0035000482086002213	0.0014338798563919182
9	2	0.0	3.066892842394264e-05
10	2	0.0	0.00017238568968475733
11	3	0.00036507618679471466	0.0006327312244726002
12	5	0.0032967677582452517	0.0006663060246960966
13	1	0.0	0.0007309904150070357
14	2	0.0023067420109199746	0.0009422976011424162
15	25	0.03248084619962507	0.005668120171016604
16	7	0.009647050713470615	0.001433224667401243
17	1	0.0	0.002531460972482136
18	21	0.022092161496117296	0.019076578298124848
19	3	0.0004980887396817857	9.69632762179188e-05
20	2	0.0009171800664657336	0.00037678153558617624
21	5	0.002098415717416035	0.0003011533798681092
22	2	0.0	5.282303170209055e-05
23	3	0.00186388882062892	0.015573279941847354
24	4	0.002879508054741176	0.004744802852304815
25	38	0.1294204125495881	0.10932745706036624
26	2	0.0002585158765494839	0.003328558606372632
27	3	0.00013414904277656516	0.008758993748073056
28	3	9.467354470293204e-05	0.004201845071480112
29	9	0.025677020587736354	0.03877048569944908
30	5	0.00013567099058659152	0.0230708422339056
31	1	0.0	9.371584091706587e-07
32	2	0.0008340751790454651	7.063915002366822e-06
33	1	0.0	6.517507438154122e-97
34	1	0.0	6.517507438154122e-97
35	9	0.012176777734434572	0.001140861059153917
36	18	0.019044882373676107	0.001102169463241034
37	12	0.013069210131448848	0.0011192556686367107
38	1	0.0	0.0001513869799009703
39	5	0.008713818127284943	0.0018707459564024588
40	3	0.004141988282946086	0.002641878018898705
41	2	0.00193214328220124	0.00110929508181837
42	1	0.0	0.0001513869799009703
43	2	0.0	0.00029763737691981227
44	2	0.0008340751790454651	0.0001541006629139073
45	11	0.007676501804893098	0.008186548653308128
46	12	0.011083339274344784	0.010581549039595805
47	6	0.0025652431792590677	0.0021043104320077584
48	2	0.0006964585069798592	0.007203200240463065
49	7	0.003996031769662952	0.029335073309090708
50	6	0.0025652431792590677	0.0021043104320077584
51	3	0.001413236799141852	0.003249705560363583
52	1	0.0	0.001086329327674052
53	1	0.0	0.001086329327674052
54	1	0.0	0.001086329327674052
55	2	0.0010394069062208988	0.001216496492387766
56	5	0.010741755132457677	0.0133709067162582
57	30	0.07043831015975033	0.054248729489958694
58	15	0.01952461081205695	0.022513562314219412
59	29	0.042044125382567576	0.011995730119819003
60	1	0.0	0.0017741392205706476
61	7	0.012701526552342668	0.010241250056672209
62	2	0.0008340751790454651	0.0007728214193159819
63	1	0.0	0.00010254458969993547
64	10	0.013584641301426083	0.005721943576237576
65	1	0.0	0.00014616862309340634
66	2	0.0008340751790454651	0.0011015253982802915
67	2	2.864269158809976e-06	4.253660892738876e-71
68	1	0.0	2.159640234212365e-71
69	2	4.582830654095962e-06	6.218436217495785e-71
70	3	0.0	1.8604194906598805e-51
71	3	0.0	1.8604194906598805e-51
72	3	0.0	1.8604194906598805e-51
73	3	0.0	1.8604194906598805e-51
74	1	0.0	0.0001024880918972739
75	15	0.01597149719904307	0.0007723550750325725
76	5	0.019945631171441252	0.01308803431638506
77	29	0.08493643499858602	0.0554586569618715
78	21	0.04026920377513221	0.015249069009905355
79	9	0.012751155958098693	0.005700135605934406
80	2	0.0008340751790454651	0.0027611227267653336
81	9	0.009562407625986846	0.020448284657959063
82	1	0.0	0.0003662786925055598
83	3	0.0	3.4778418088871143e-79
84	1	0.0	2.149424445387653e-79
85	1	0.0	0.0025731006172107673
86	5	0.0016675775042591682	0.019404759593498435
87	7	0.0027893479601170156	0.005003096064894998
88	3	0.00045618766170330374	0.0030342962078025995
89	3	0.0018624335246381	0.004882720950849793
90	10	0.005463019154520702	0.009285059238979848
91	3	0.00027969127415744923	0.003924552633959173
92	1	0.0	0.0006639106441063974
93	1	0.0	0.0006639106441063974
94	1	0.0	6.517507438154122e-97
95	1	0.0	6.517507438154122e-97
96	1	0.0	9.745575456760897e-05
97	2	0.0008340751790454651	0.0007346155690393214
98	1	0.0	6.517507438154122e-97
99	1	0.0	6.517507438154122e-97
100	6	0.0023775088131697546	0.0037254781443662875
101	4	0.0006646831004314856	0.0018319403913517388
102	7	0.004864331170184878	0.00443975393711798
103	5	0.0008423326533785356	0.0025577103676390437
104	4	0.002805650493652918	0.0012031742603963813
105	5	0.01044462333095242	0.009030142909073
106	5	0.006321732583327375	0.009013805772636363
107	2	0.0	2.5343211786974047e-70
108	2	0.0	2.5343211786974047e-70
109	2	0.0	2.5343211786974047e-70
110	1	0.0	0.0033855662216330973
111	6	0.01809675443776116	0.02552078203940003
112	3	0.0034018741713081695	0.017246752212175954
113	5	0.007352332818085723	0.002020474976261534
114	2	0.004068390829779105	0.007715348508249017
115	1	0.0	0.0005171459905277551
116	1	0.0	0.0005171459905277551
117	11	0.003264396567207636	0.0071551553539947275
118	7	0.010301904894716461	0.003929508116657202
119	3	6.574305690657547e-06	0.0038205464424092206
120	3	0.0	0.0035285643699410263
121	4	0.002841553314567015	0.0036530798614996776
122	3	0.0008406494847361228	0.0018431256342220797
123	27	0.04228801680562365	0.01514634408275142
124	6	0.006651105900298035	0.004763476056684021
125	2	0.0011026426335490004	0.003319672177875962
126	4	2.471876884287142e-05	0.004288806937390156
127	7	0.0036365622822119798	0.005805611435381691
128	3	6.574305690657547e-06	0.0038205464424092206
129	1	0.0	6.517507438154122e-97
130	1	0.0	6.517507438154122e-97
131	2	0.002498788414145823	6.427461173827065e-06
132	4	0.00582248634602892	4.755365757631657e-05
133	3	0.0016675775042591682	8.840599419802079e-07
134	3	0.005848701326610784	0.008148866859098236
135	2	0.0003235638599068773	0.0008663949758180862
136	2	0.0008340751790454651	0.0007677278234521315
137	3	0.0029206008570381386	0.0008927110661639935
138	2	0.005977059217926554	0.0014831296887425874
139	1	0.0	0.0007521392737355518
140	4	0.001913766319220914	0.0009384971708218169
141	7	0.006038048867945078	0.002742542805900554
142	2	0.0008340751790454651	0.0007656219614192267
143	3	0.0015708137934639065	0.0020302631923382677
144	6	0.013324231242580394	0.010152590424264415
145	2	0.001011170750173504	0.0007848784316477662
146	3	0.01216237436924588	0.0029652975890265077
147	2	0.0049872654593199305	0.0007664986995876698
148	1	0.0	0.0007521392737355518
149	1	0.0	0.0007521392737355518
150	1	0.0	0.0007521392737355518
151	1	0.0	0.0007521392737355518
152	1	0.0	0.0007521392737355518
153	2	9.318006425067523e-05	0.0009475465631687256
154	1	0.0	0.0007521392737355518
155	1	0.0	0.0007521392737355518
156	1	0.0	0.0007521392737355518
157	1	0.0	0.0007521392737355518
158	2	2.864269158809976e-06	5.468401035321465e-71
159	3	6.301392149381948e-06	7.994267504464642e-71
160	1	0.0	2.7763799678644876e-71
161	2	0.0008340751790454651	0.00019848241871870203
162	1	0.0	2.6333521453531637e-05
163	4	0.006285346239915804	0.001469713764231565
164	1	0.0	0.0015917721466388254
165	1	0.0	0.00037615013129561024
166	13	0.009854534110471382	0.002834546703053229
167	2	0.0	0.0008947605582525072
168	6	0.0030399914288902347	0.0034553414292645664
169	3	0.0004111643911465867	0.0032896045925122817
170	8	0.00017323568671570038	0.0018491408453953635
171	6	0.00017323568671570038	0.0016324867219564669
172	5	0.0	0.0012273216631025318
173	9	0.0014853525327086364	0.0024670645265929174
174	9	0.0009499812677439979	0.0019089659900095198
175	6	0.004736609287013226	0.003458518766747702
176	7	0.0	0.0013902106625154286
177	3	0.0009195745370261316	0.014567545475545724
178	16	0.020021786599095873	0.06988417277473755
179	1	0.0	0.08983790944965579
180	56	0.0598677445668738	0.6775137560770503
181	1	0.0	0.00037615013129561024
